Time,Isosbestic,Fluorescence
124.195751,229.547,208.764
124.395739,229.243,208.83
124.595726,229.609,208.793
124.795711,229.305,208.609
124.995702,229.448,208.726
125.195692,229.499,208.771
125.395679,229.531,208.506
125.595666,229.478,208.926
125.795651,229.303,208.77
125.995638,229.594,208.764
126.195627,229.326,208.879
126.395612,229.627,208.881
126.595603,229.447,208.802
126.795587,229.54,208.86
126.995574,229.649,208.917
127.195561,229.559,208.7
127.395549,229.411,208.826
127.595537,229.411,208.714
127.795526,229.396,208.808
127.995531,229.454,208.794
128.195532,229.545,208.735
128.395536,229.591,208.827
128.595538,229.527,208.832
128.795542,229.418,208.716
128.995545,229.382,208.78
129.195548,229.703,208.76
129.395551,229.361,208.763
129.595552,229.527,208.718
129.795555,229.504,208.617
129.995558,229.442,208.771
130.195562,229.667,208.799
130.395562,229.602,208.846
130.595569,229.62,208.42
130.795567,229.496,208.628
130.99557,229.69,208.686
131.195578,229.501,208.486
131.395582,229.525,208.872
131.595579,229.543,208.56
131.795587,229.505,208.815
131.995586,229.554,208.546
132.195592,229.628,208.802
132.395593,229.656,208.825
132.5956,229.271,208.664
132.795605,229.328,208.58
132.995606,229.367,209.014
133.195609,229.317,208.702
133.395612,229.403,208.759
133.595615,229.342,208.91
133.795618,229.61,208.612
133.995621,229.637,208.555
134.195625,229.602,208.827
134.395632,229.474,208.597
134.595635,229.366,208.846
134.795637,229.381,208.84
134.99564,229.407,208.868
135.195647,229.466,208.79
135.395651,229.51,208.858
135.595652,229.648,208.924
135.79566,229.574,208.799
135.995652,229.652,208.814
136.19564,229.487,208.817
136.395639,229.431,208.855
136.59563,229.564,208.696
136.795627,229.48,208.736
136.995615,229.452,208.784
137.195608,229.597,208.814
137.395603,229.399,208.89
137.595595,229.576,208.646
137.795591,229.65,208.653
137.995583,229.697,208.828
138.195574,229.569,208.67
138.395568,229.53,208.871
138.595562,229.813,208.776
138.795556,229.553,208.877
138.995545,229.572,208.868
139.195543,229.531,208.768
139.395533,229.568,208.796
139.595526,229.772,208.878
139.795518,229.786,208.913
139.995511,229.861,208.856
140.195505,229.869,208.901
140.395501,229.555,208.942
140.595494,229.445,208.702
140.795487,229.513,208.727
140.995476,229.573,208.738
141.195471,229.46,208.733
141.395465,229.517,208.713
141.595461,229.311,208.644
141.795448,229.404,208.648
141.995447,229.485,208.607
142.195437,229.495,208.789
142.395431,229.254,208.736
142.595422,229.545,208.651
142.79542,229.408,208.545
142.995412,229.423,208.79
143.195405,229.523,208.717
143.395397,229.38,208.927
143.595388,229.692,208.812
143.795384,229.791,208.892
