,Timestamps
130618,58946.69996
130622,58946.80233
130626,58946.90461
130629,58946.99656
130633,58947.08385
130967,58955.63493
130971,58955.73734
130975,58955.83974
130979,58955.94214
130983,58956.04454
130987,58956.14734
132715,59000.38895
132719,59000.49082
132758,59001.4887
132762,59001.59183
132766,59001.69368
132870,59004.3558
132874,59004.45828
132878,59004.56059
132882,59004.66296
132886,59004.76535
134296,59040.86532
134300,59040.96698
134304,59041.06938
134308,59041.17189
134311,59041.24877
134315,59041.35082
134631,59049.44193
134634,59049.51794
134674,59050.54198
134678,59050.64435
134682,59050.74685
134784,59053.35822
134787,59053.43731
134792,59053.5655
134795,59053.63988
134799,59053.74249
135130,59062.21668
135134,59062.31901
135138,59062.42254
135142,59062.52381
135145,59062.603
135149,59062.70299
136929,59108.2748
136933,59108.37719
136972,59109.37592
136976,59109.47809
136980,59109.58115
137085,59112.26912
137089,59112.37107
137092,59112.44814
137096,59112.5503
137100,59112.6532
137318,59118.23398
137322,59118.33681
137325,59118.4135
137329,59118.51565
137333,59118.61802
137337,59118.72197
138433,59146.78047
138472,59147.77884
138475,59147.85612
138479,59147.95936
138483,59148.0608
140483,59199.265
140487,59199.36712
140526,59200.36561
140530,59200.46829
140534,59200.57193
140636,59203.18188
140640,59203.28428
140644,59203.38776
140648,59203.48911
140652,59203.59149
140922,59210.50432
140926,59210.60645
140930,59210.70964
140933,59210.78568
140937,59210.88805
140941,59210.9905
141799,59232.95716
141803,59233.05987
141841,59234.03247
141845,59234.13485
141849,59234.23759
141954,59236.92557
141958,59237.02789
141961,59237.10513
141965,59237.20707
141969,59237.30958
146895,59363.42554
146899,59363.52801
146903,59363.63095
146907,59363.73283
146911,59363.83534
146915,59363.93772
148558,59406.00191
148562,59406.10428
148605,59407.20521
148609,59407.3076
148613,59407.41001
148715,59410.02147
148719,59410.12381
148723,59410.2281
148727,59410.32867
148731,59410.43108
149421,59428.09673
149425,59428.19892
149428,59428.27656
149432,59428.37811
149436,59428.48055
149440,59428.58294
149493,59429.94135
149531,59430.91274
149535,59431.01553
149539,59431.11759
149543,59431.22028
149966,59442.04988
149970,59442.15244
150012,59443.22775
150016,59443.3301
150020,59443.43218
150123,59446.06926
150127,59446.17172
150131,59446.27406
150135,59446.37686
150139,59446.479
150158,59446.96554
150162,59447.06801
150166,59447.17016
150170,59447.27281
150174,59447.37532
150177,59447.45178
151676,59485.82941
151717,59486.87916
151720,59486.95584
151724,59487.05985
151728,59487.16157
152938,59518.13917
152942,59518.24161
152981,59519.24198
152985,59519.34275
152989,59519.44687
153092,59522.08214
153096,59522.18437
153100,59522.28727
153104,59522.38999
153108,59522.49253
164647,59817.91456
164651,59818.01693
164655,59818.11935
164659,59818.22185
164663,59818.32449
164667,59818.42705
165772,59846.717
165776,59846.81937
165816,59847.84384
165820,59847.9468
165824,59848.04829
165926,59850.65999
165930,59850.7625
165934,59850.86569
165938,59850.96707
165942,59851.06945
166132,59855.9343
166136,59856.03629
166140,59856.13857
166144,59856.24101
166147,59856.32027
166151,59856.42025
166789,59872.75432
166832,59873.85521
166836,59873.95796
166840,59874.06033
166844,59874.16261
168577,59918.53112
168617,59919.55539
168620,59919.63187
168624,59919.73431
168628,59919.83666
170065,59956.62692
170106,59957.67654
170110,59957.77916
170114,59957.88173
170118,59957.98382
171127,59983.81658
171130,59983.89363
171169,59984.89184
171173,59984.99416
171177,59985.09649
171279,59987.70792
171283,59987.81037
171287,59987.91329
171291,59988.01667
171295,59988.11777
171395,59990.67788
171399,59990.7804
171403,59990.88332
171407,59990.98506
171411,59991.08732
171415,59991.19004
172108,60008.93226
172111,60009.00906
172150,60010.00778
172154,60010.11155
172158,60010.21226
172264,60012.92598
172268,60013.02844
172272,60013.13142
172276,60013.23404
172280,60013.33571
172455,60017.81604
172459,60017.91877
172463,60018.02228
172467,60018.12375
172471,60018.22614
172475,60018.3285
173742,60050.76626
173746,60050.87032
173785,60051.86707
173789,60051.97065
173793,60052.07195
173894,60054.65774
173898,60054.76032
173902,60054.86235
173906,60054.96499
173909,60055.04155
175362,60092.24274
175366,60092.34465
175370,60092.44637
175374,60092.54866
175377,60092.62548
175381,60092.72788
176448,60120.04534
176452,60120.14789
176491,60121.14692
176495,60121.24913
176499,60121.35173
176602,60123.98849
176606,60124.09064
176610,60124.19304
176614,60124.29535
176618,60124.39805
176813,60129.39016
176817,60129.49281
176820,60129.5695
176824,60129.67172
176828,60129.77416
176832,60129.8768
177576,60148.92462
177617,60149.97463
177621,60150.07663
177625,60150.17949
177628,60150.25631
178462,60171.60975
178501,60172.60658
178504,60172.68375
178508,60172.78587
178512,60172.88815
181452,60248.15841
181456,60248.26112
181495,60249.25948
181499,60249.36172
181503,60249.46438
181609,60252.17802
181613,60252.2807
181617,60252.38495
181620,60252.45953
181624,60252.56192
181676,60253.89327
181680,60253.99836
181684,60254.09821
181687,60254.1761
181691,60254.27729
181695,60254.38074
182358,60271.35421
182396,60272.3274
182400,60272.42953
182404,60272.53158
182408,60272.634
182978,60287.22728
182982,60287.33055
183025,60288.43199
183029,60288.53293
183033,60288.6353
183136,60291.2731
183140,60291.37604
183144,60291.47754
183147,60291.55649
183151,60291.65645
183483,60300.15662
183487,60300.25896
183491,60300.36215
183495,60300.46531
183499,60300.56603
183502,60300.64282
185011,60339.27635
185050,60340.27487
185054,60340.37731
185058,60340.47967
185163,60343.1679
185167,60343.2709
185171,60343.37266
185175,60343.47516
185179,60343.57757
185300,60346.67572
185304,60346.77853
185307,60346.85556
185311,60346.95697
185315,60347.05938
185319,60347.16182
186755,60383.92686
186794,60384.92504
186798,60385.02743
186802,60385.13198
187085,60392.37521
187089,60392.47762
187093,60392.58002
187097,60392.6825
187101,60392.78479
187120,60393.27154
187124,60393.37368
187128,60393.47615
187132,60393.57878
187136,60393.68146
187140,60393.78479
187658,60407.04531
