,Timestamps
226252,60579.9828096
226291,60580.9808256
226295,60581.0852736
226298,60581.1609472
226401,60583.7972864
226404,60583.8737536
226408,60583.9761408
226412,60584.0788224
226416,60584.181056
230139,60679.4976768
230143,60679.6001408
230146,60679.6768384
230150,60679.7792
230154,60679.8816
230158,60679.9840256
233825,60773.8674944
233829,60773.9698944
233889,60775.505984
233893,60775.6078976
233897,60775.7106944
233900,60775.787072
234680,60795.7573248
234684,60795.8593024
234731,60797.0633344
234735,60797.1648512
234739,60797.2672256
234743,60797.3697024
235604,60819.413056
235645,60820.4639104
235649,60820.56512
235653,60820.6675328
235758,60823.3559168
235762,60823.4582656
235765,60823.5359616
235769,60823.6376832
235773,60823.7405824
239318,60914.499456
239321,60914.5760896
239325,60914.6784512
239329,60914.7808384
239333,60914.8843904
239337,60914.9859072
239386,60916.2414208
239390,60916.3425408
239434,60917.4693632
239438,60917.571456
239441,60917.648384
239445,60917.7508352
254410,61300.8861056
254454,61302.0126848
254458,61302.1158016
254462,61302.2175232
254564,61304.8288
254568,61304.9312128
254572,61305.0339712
254576,61305.1378432
254580,61305.2386176
259488,61430.8940032
259492,61430.9960576
259496,61431.0983296
259500,61431.2008448
259504,61431.3032832
259508,61431.4061824
259620,61434.2730496
259624,61434.3754368
259684,61435.915072
259688,61436.0142848
259692,61436.117632
259696,61436.2187648
260169,61448.3286528
260235,61450.0183936
260239,61450.120704
260243,61450.223616
260347,61452.8857088
260351,61452.9881344
260355,61453.0907008
260359,61453.193024
260363,61453.2953856
260655,61460.7717504
260659,61460.8738432
260663,61460.9766144
260666,61461.0536832
260670,61461.1552256
260674,61461.2579456
261176,61474.1112064
261227,61475.4158464
261231,61475.5183104
261235,61475.621056
261370,61479.0768896
261374,61479.1803776
261378,61479.281536
261382,61479.3842048
261385,61479.4621312
263035,61521.7044992
263039,61521.8072704
263043,61521.9090048
263047,61522.0114048
263051,61522.1142272
263055,61522.2166016
263387,61530.7165312
263391,61530.8197248
263472,61532.892928
263476,61532.9946752
263480,61533.0971264
263484,61533.2008832
272970,61776.0616576
272974,61776.1634688
273014,61777.18752
273018,61777.2899968
273022,61777.39264
273025,61777.4693888
279385,61940.298432
279388,61940.3756416
279427,61941.374144
279431,61941.4763648
279435,61941.5785728
279439,61941.681344
293722,62380.6835712
293760,62381.656832
293764,62381.758528
293768,62381.8608896
293875,62384.60032
293879,62384.7027584
293883,62384.8055168
293887,62384.907584
293891,62385.0099968
365747,64226.4171392
365751,64226.519104
365755,64226.6213376
365759,64226.7229696
365763,64226.825472
365767,64226.9303936
368097,64286.580352
368139,64287.656448
368143,64287.7580672
368147,64287.861504
368252,64290.5496576
368256,64290.6510976
368260,64290.7534848
368264,64290.856
368268,64290.958336
